LINHA;NOME DA ESTAÇÃO;SIGLA DA ESTAÇÃO;DESCRIÇÃO DO PRODUTO;GRUPO v1;GRUPO;LOCALIZACAO;Codigo;Codigov2;;PAINEL
1;ESTACAO ARVORE                ;ARV;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;ARV-MLS-3;ARV-MLS-3;;
1;ESTACAO ARVORE                ;ARV;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;ARV-MLS-7;ARV-MLS-7;;
1;ESTACAO ARVORE                ;ARV;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;ARV-MPS-13;ARV-MPS-13;;
1;ESTACAO ARVORE                ;ARV;DUPLA-FACE PLATAFORMA;DUPLA-FACE;PAINEL DUPLA-FACE;PLATAFORMA;ARV-PDF-6;ARV-PDF-6;;
1;ESTACAO BELEM                 ;BEL;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BEL-MLS-8;BEL-MLS-8;x;
3;ESTACAO BELEM                 ;BEL;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BEL-MLS-9;BEL-MLS-9;;
3;ESTACAO BELEM                 ;BEL;CLÁSSICO MEZANINO;CLÁSSICO;PAINEL CLÁSSICO;MEZANINO;BEL-MPP-3;BEL-MPP-3;;
1;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -12;BAS-PS-12;x;
1;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -16;BAS-PS-16;;
1;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -7;BAS-PS-7;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -8;BAS-PS-8;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BAS-MLS-2;BAS-MLS-2;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BAS-MLS-3;BAS-MLS-3;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO LIVRE;SUPER;PAINEL SUPER;MEZANINO LIVRE;BAS-MLS-9;BAS-MLS-9;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BAS-MPS-6;BAS-MPS-6;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BAS-MPS-9;BAS-MPS-9;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -10;BAS-PS-10;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -11;BAS-PS-11;;
3;ESTACAO BRAS                  ;BAS;SUPER MEZANINO PAGO;SUPER;PAINEL SUPER;MEZANINO PAGO;BAS-MPS-8;BAS-MPS-8;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -14;BAS-PS-14;;
3;ESTACAO BRAS                  ;BAS;CLÁSSICO PLATAFORMA;CLÁSSICO;PAINEL CLÁSSICO;PLATAFORMA;BAS-PP -2;BAS-PP-2;;
3;ESTACAO BRAS                  ;BAS;SUPER PLATAFORMA;SUPER;PAINEL SUPER;PLATAFORMA;BAS-PS -4;BAS-PS-4;;
